Model,Dataset,Accuracy,Precision,Recall,F1-Score
LeNet,MNIST,0.9869,0.9867,0.9868,0.9868
LeNet,FMNIST,0.8738,0.8751,0.8738,0.8736
LeNet,CIFAR10,0.5483,0.5446,0.5483,0.5411
AlexNet,MNIST,0.9837,0.9837,0.9835,0.9834
AlexNet,FMNIST,0.9006,0.903,0.9006,0.9011
AlexNet,CIFAR10,0.6333,0.632,0.6333,0.6232
VGG,MNIST,0.9906,0.9907,0.9904,0.9905
VGG,FMNIST,0.9091,0.9124,0.9091,0.9078
VGG,CIFAR10,0.7463,0.7544,0.7463,0.7479
ResNet,MNIST,0.9504,0.9537,0.9501,0.9497
ResNet,FMNIST,0.8188,0.8442,0.8188,0.8046
ResNet,CIFAR10,0.6152,0.6819,0.6152,0.5935
GoogLeNet,MNIST,0.9855,0.9855,0.9858,0.9856
GoogLeNet,FMNIST,0.8883,0.8874,0.8883,0.887
GoogLeNet,CIFAR10,0.6258,0.6359,0.6258,0.6217
Xception,MNIST,0.9833,0.9835,0.9831,0.9832
Xception,FMNIST,0.8992,0.9034,0.8992,0.8975
Xception,CIFAR10,0.7573,0.7758,0.7573,0.7549
SENet,MNIST,0.9208,0.9334,0.9216,0.9222
SENet,FMNIST,0.8186,0.8338,0.8186,0.817
SENet,CIFAR10,0.5152,0.6007,0.5152,0.527
